ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Crediting Period Start Date,Crediting Period End Date
5034,90MW FLOATING SOLAR PV POWER PROJECT IN OMKARESHWAR,Kosher Climate India Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,India,166175,Asia,12-04-2024,11-04-2031
5035,Silk Grass Biochar Project,Silk Grass Farms. Ltd,Waste handling and disposal,,VM0044,Under validation,Belize,6500,Latin America,01-04-2024,31-03-2031
5032,Kupu-Kupu Project - Enhancing Livelihoods through Mangrove Restoration and Silvofishery in South Sulawesi,Vlinder Austria GmbH,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under development,Indonesia,1045496,Asia,17-02-2024,16-02-2064
5031,"Farm Forestry Initiatives for Promotion of Community Livelihoods and Climate Resilience in Odisha, India",Odisha Forestry Sector Development Society,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,175809,Asia,01-07-2021,30-06-2041
5028,Cornerstone Technologies EV Charging Infrastructure Project,CORNERSTONE EV CHARGING SERVICE LIMITED,Energy industries (renewable/non-renewable sources); Transport,,VM0038,Under validation,Hong Kong,1399,Asia,01-05-2022,30-04-2029
5029,Credo Renewables Improved Cookstove Project in Pakistan,Multiple Proponents,Energy demand,,VMR0006,Under validation,Pakistan,1299601,Asia,,
5030,SEA FOREST ENTERIC METHANE REDUCTION IN AUSTRALIA,Sea Forest Limited,"Livestock, enteric fermentation, and manure management",,VM0041,Under validation,Australia,1153250,Oceania,08-02-2024,07-02-2031
5026,Guizhou Mayixi Yijing CMM Power Generation Project,"Guizhou Panjiang CBM Development&Utilization Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registration and verification approval requested,China,126430,Asia,17-07-2022,16-07-2032
5027,SPEKBOOM RESTORATION PROJECT BEKA EMVA IGWANISHE - ISIXHOSA,Imperative South Africa Projects Pte Ltd,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,South Africa,978015,Africa,,
5022,Reduction of Enteric Methane Emissions using Feed Additives on Dairy Farms in the Netherlands,FrieslandCampina C.V.,"Livestock, enteric fermentation, and manure management",,VM0041,Under validation,Netherlands,754785,Europe,01-07-2022,30-06-2032
5023,Small Scale Solar Grouped Project in South Africa,Catalyst Incentive Solutions (Pty) Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,5613,Africa,01-05-2022,30-04-2032
5025,Guaranatuba REDD+ AUDD Grouped Project,Organica Consultoria LTDA,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Brazil,5856,Latin America,01-05-2021,30-04-2051
5019,IMPROVED CROPLAND MANAGEMENT PROJECT IN TANGHE,"Henan Huiyu Industrial Development Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,253568,Asia,25-05-2021,24-05-2041
5018,Zhejiang Hengxin PET Recycling Project,"Zhejiang Hengxin Power Co.,Ltd.",Waste handling and disposal,,VMR0007,Under validation,China,55396,Asia,04-09-2023,03-09-2030
5015,Hengyang New Hope Swine Farm AWMS GHG Mitigation project,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,87939,,01-01-2023,31-12-2032
5016,Longhai New Hope manure management project,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registration and verification approval requested,China,141017,,11-01-2023,10-01-2033
5017,Liquan New Hope Manure Management Project,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,59941,,01-08-2023,31-07-2033
5012,Heilongjiang Datong Improved Agricultural Land Management Project,"Daqing Datong District Urban Construction Investment and Development Co., Ltd. Agricultural Development Branch",Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,China,123249,Asia,01-04-2021,31-03-2061
5010,M/s. TATA COFFEE LIMITED (TCL) TREE PLANTATION CARBON PROJECT IN WESTERN GHATS,Ms. TATA COFFEE LIMITED,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,52464,Asia,01-04-2021,31-03-2053
5011,Shanxi Xiyang CMM Power Generation Project,"Shanxi Xiyang Fenghui coal industry Co., Ltd. Power Plant",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,827531,Asia,01-12-2022,30-11-2032
5008,Initiative 1415 - CO2/BCA,1415 AB,Agriculture Forestry and Other Land Use,ARR; IFM,Methodology Under Development,Inactive,Sweden,659900,Europe,01-02-2023,31-01-2123
5006,Agroforestry in Brazilian Biomes,Belterra Agroflorestas,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,56394,Latin America,02-03-2021,01-03-2046
5001,Butuo County Grassland Sustainable Management Project,Liangshan Modern Agricultural Silicon Valley Investment and Development Group Co.,Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,1425760,Asia,09-07-2021,08-07-2061
5003,Growing Forest Carbon Project,Growing Forestlands Inc. (Growing Forests),Agriculture Forestry and Other Land Use,IFM,VM0034,Under validation,Canada,834,North America,01-10-2022,30-09-2052
5004,Taurus Energy Efficiency Consortium,"RENU Communities, LLC",Energy demand,,VM0008,Under development,United States,333,North America,01-07-2021,30-06-2031
5005,NGON Texas Beneficial Use of Waste Flare Gas Energy,"ANEW ENVIRONMENTAL, LLC",Energy industries (renewable/non-renewable sources); Manufacturing industries,,AMS-III.Q,Under validation,United States,17800,North America,18-03-2022,17-03-2029
4997,OYU - Clean Cooking in Uganda,OYU Green Private Limited,Energy demand,,VMR0006,Registration and verification approval requested,Uganda,162274,Africa,01-01-2023,31-12-2029
4992,Yangjiang MSW incineration and power generation,"Yangjiang SUS Environmental Protection Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under development,China,153260,Asia,17-01-2023,16-01-2030
4993,Águas da Mata Atlântica,"Pachama, Inc.",Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,53240,Latin America,28-10-2023,27-10-2063
4994,Entooma Sidai: A Maasai Mara Rangeland Restoration and Conservation Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0032,Under development,Kenya,689731,Africa,01-01-2024,31-12-2063
